time	Channel1	Channel2
-0.001	0.04293333	-0.002666666
-0.0009998000000000001	0.04453333	-0.002133333
-0.0009996	0.04479999	-0.001066667
-0.0009994000000000001	0.0464	-0.001066667
-0.0009992	0.05026666	-0.0024
-0.000999	0.0508	-0.003466666
-0.0009988	0.05186666	-0.002666666
-0.0009986	0.05293333	-0.0024
-0.0009984	0.0524	-0.002133333
-0.0009982	0.05399999	-0.0024
-0.000998	0.05786666	-0.002666666
-0.0009978	0.05786666	-0.001866666
-0.0009976	0.05866666	-0.0024
-0.0009974	0.06106666	-0.002666666
-0.0009972	0.06293333	-0.0016
-0.000997	0.06346666	-0.001333333
-0.0009968	0.06679999	-0.0024
-0.0009966	0.06573333	-0.002666666
-0.0009964	0.06733333	-0.002666666
-0.0009962	0.06973333	-0.002666666
-0.000996	0.07106666	-0.002933333
-0.0009958	0.07319999	-0.001333333
-0.0009956	0.07519999	-0.002666666
-0.0009954	0.07466666	-0.001333333
-0.0009952000000000001	0.07626666	-0.0016
-0.000995	0.07706666	-0.001066667
-0.0009948000000000001	0.08106666	-0.0016
-0.0009946	0.08053333	-0.001333333
-0.0009944	0.08173332	-0.0024
-0.0009942	0.08386666	-0.0016
-0.000994	0.08466666	-0.003466666
-0.0009938	0.08546666	-0.002133333
-0.0009936	0.08866666	-0.001866666
-0.0009934	0.08893333	-0.002933333
-0.0009932	0.09039999	-0.002666666
-0.000993	0.09279999	-0.001866666
-0.0009928	0.09199999	-0.0024
-0.0009926	0.09413332	-0.003466666
-0.0009924	0.09679999	-0.002666666
-0.0009922	0.09546666	-0.002666666
-0.000992	0.09759999	-0.002133333
-0.0009918	0.09986666	-0.002133333
-0.0009916	0.09986666	-0.0024
-0.0009914	0.1025333	-0.002933333
-0.0009912	0.1044	-0.002133333
-0.0009910000000000001	0.1057333	-0.002933333
-0.0009908	0.1054667	-0.002133333
-0.0009906000000000001	0.1072	-0.001333333
-0.0009904	0.1093333	-0.0032
-0.0009902	0.1109333	-0.0007999999
-0.00099	0.112	-0.001333333
-0.0009898	0.1145333	-0.003733333
