time	Channel1	Channel2
-0.001	0.04293333	-0.0024
-0.0009998000000000001	0.04506666	-0.001066667
-0.0009996	0.04373333	-0.002933333
-0.0009994000000000001	0.04533333	-0.001066667
-0.0009992	0.0464	-0.002933333
-0.000999	0.04893333	-0.0044
-0.0009988	0.04973333	-0.0032
-0.0009986	0.05106666	-0.0032
-0.0009984	0.0524	-0.0044
-0.0009982	0.05373333	-0.002666666
-0.000998	0.05586666	-0.003466666
-0.0009978	0.05733333	-0.002933333
-0.0009976	0.05613333	-0.004133333
-0.0009974	0.06079999	-0.003466666
-0.0009972	0.06053333	-0.004133333
-0.000997	0.06266666	-0.002666666
-0.0009968	0.06293333	-0.0024
-0.0009966	0.06546666	-0.0024
-0.0009964	0.06653333	-0.0032
-0.0009962	0.06786666	-0.002666666
-0.000996	0.06866666	-0.002666666
-0.0009958	0.07106666	-0.0032
-0.0009956	0.07319999	-0.003733333
-0.0009954	0.07599999	-0.003466666
-0.0009952000000000001	0.07599999	-0.004133333
-0.000995	0.07653333	-0.003466666
-0.0009948000000000001	0.07813332	-0.0024
-0.0009946	0.08106666	-0.003733333
-0.0009944	0.08053333	-0.002933333
-0.0009942	0.08079999	-0.002666666
-0.000994	0.08359999	-0.004133333
-0.0009938	0.08439999	-0.0024
-0.0009936	0.08733332	-0.004666666
-0.0009934	0.08573332	-0.003733333
-0.0009932	0.08839999	-0.002666666
-0.000993	0.09199999	-0.004133333
-0.0009928	0.09173332	-0.002666666
-0.0009926	0.09413332	-0.002933333
-0.0009924	0.09493332	-0.003466666
-0.0009922	0.09493332	-0.0044
-0.000992	0.09799999	-0.0024
-0.0009918	0.09879999	-0.003733333
-0.0009916	0.09986666	-0.0032
-0.0009914	0.09986666	-0.002666666
-0.0009912	0.1044	-0.0032
-0.0009910000000000001	0.1041333	-0.0032
-0.0009908	0.1061333	-0.0016
-0.0009906000000000001	0.1054667	-0.002933333
-0.0009904	0.1085333	-0.003733333
-0.0009902	0.1104	-0.003466666
-0.00099	0.112	-0.004133333
-0.0009898	0.1125333	-0.003733333
-0.0009896	0.1136	-0.004666666
